Race_Number,Driver_Code,First_Name,Last_Name,Nationality
89,AIT,Jack,Aitken,GBR
23,ALB,Alexander,Albon,THA
14,ALO,Fernando,Alonso,ESP
38,BEA,Oliver,Bearman,GBR
77,BOT,Valtteri,Bottas,FIN
43,COL,Franco,Colapinto,ARG 
21,DEV,Nyck,de Vries,NED
61,DOO,Jack,Doohan,AUS
51,FIT,Pietro,Fittipaldi,BRA
10,GAS,Pierre,Gasly,FRA
99,GIO,Antonio,Giovinazzi,ITA
8,GRO,Romain,Grosjean,FRA
44,HAM,Lewis,Hamilton,GBR
27,HUL,Nico,Hülkenberg,GER
88,KUB,Robert,Kubica,POL
26,KVY,Daniil,Kvyat,RAF
6,LAT,Nicholas,Latifi,CAN
30,LAW,Liam,Lawson,NZL
16,LEC,Charles,Leclerc,MON
20,MAG,Kevin,Magnussen,DEN
9,MAZ,Nikita,Mazepin,RAF
47,MSC,Mick,Schumacher,GER
4,NOR,Lando,Norris,GBR
31,OCO,Esteban,Ocon,FRA
11,PER,Sergio,Perez,MEX
81,PIA,Oscar,Piastri,AUS
7,RAI,Kimi,Räikkönen,FIN
3,RIC,Daniel,Ricciardo,AUS
63,RUS,George,Russell,GBR
55,SAI,Carlos,Sainz,ESP
2,SAR,Logan,Sargeant,USA
18,STR,Lance,Stroll,CAN
22,TSU,Yuki,Tsunoda,JPN
33,VER,Max,Verstappen,NED
5,VET,Sebastian,Vettel,GER
24,ZHO,Guanyu,Zhou,CHN
