Driver_ID,Driver_Reference,Race_Number,Driver_Code,First_Name,Last_Name,Nationality
1,aitken,89,AIT,Jack,Aitken,GBR
2,albon,23,ALB,Alexander,Albon,THA
3,alonso,14,ALO,Fernando,Alonso,ESP
4,bearman,38,BEA,Oliver,Bearman,GBR
5,bottas,77,BOT,Valtteri,Bottas,FIN
6,colapinto,43,COL,Franco,Colapinto,ARG 
7,de_vries,21,DEV,Nyck,de Vries,NED
8,doohan,61,DOO,Jack,Doohan,AUS
9,pietro_fittipaldi,51,FIT,Pietro,Fittipaldi,BRA
10,gasly,10,GAS,Pierre,Gasly,FRA
11,giovinazzi,99,GIO,Antonio,Giovinazzi,ITA
12,grosjean,8,GRO,Romain,Grosjean,FRA
13,hamilton,44,HAM,Lewis,Hamilton,GBR
14,hulkenberg,27,HUL,Nico,Hülkenberg,GER
15,kubica,88,KUB,Robert,Kubica,POL
16,kvyat,26,KVY,Daniil,Kvyat,RAF
17,latifi,6,LAT,Nicholas,Latifi,CAN
18,lawson,30,LAW,Liam,Lawson,NZL
19,leclerc,16,LEC,Charles,Leclerc,MON
20,kevin_magnussen,20,MAG,Kevin,Magnussen,DEN
21,mazepin,9,MAZ,Nikita,Mazepin,RAF
22,mick_schumacher,47,MSC,Mick,Schumacher,GER
23,norris,4,NOR,Lando,Norris,GBR
24,ocon,31,OCO,Esteban,Ocon,FRA
25,perez,11,PER,Sergio,Perez,MEX
26,piastri,81,PIA,Oscar,Piastri,AUS
27,raikkonen,7,RAI,Kimi,Räikkönen,FIN
28,ricciardo,3,RIC,Daniel,Ricciardo,AUS
29,russell,63,RUS,George,Russell,GBR
30,sainz,55,SAI,Carlos,Sainz,ESP
31,sargeant,2,SAR,Logan,Sargeant,USA
32,stroll,18,STR,Lance,Stroll,CAN
33,tsunoda,22,TSU,Yuki,Tsunoda,JPN
34,max_verstappen,33,VER,Max,Verstappen,NED
35,vettel,5,VET,Sebastian,Vettel,GER
36,zhou,24,ZHO,Guanyu,Zhou,CHN
