Driver_ID,Team_ID,GrandPrix,DriverName,Team,Year
5,1,Austria,Valtteri Bottas,Mercedes,2020
13,1,Styria,Lewis Hamilton,Mercedes,2020
13,1,Hungary,Lewis Hamilton,Mercedes,2020
13,1,Great Britain,Lewis Hamilton,Mercedes,2020
34,2,70th Anniversary,Max Verstappen,Red Bull Racing,2020
13,1,Spain,Lewis Hamilton,Mercedes,2020
13,1,Belgium,Lewis Hamilton,Mercedes,2020
10,7,Italy,Pierre Gasly,AlphaTauri,2020
13,1,Tuscany,Lewis Hamilton,Mercedes,2020
5,1,Russia,Valtteri Bottas,Mercedes,2020
13,1,Eifel,Lewis Hamilton,Mercedes,2020
13,1,Portugal,Lewis Hamilton,Mercedes,2020
13,1,Emilia-Romagna,Lewis Hamilton,Mercedes,2020
13,1,Turkey,Lewis Hamilton,Mercedes,2020
13,1,Bahrain,Lewis Hamilton,Mercedes,2020
25,4,Sakhir,Sergio Perez,Racing Point,2020
34,2,Abu Dhabi,Max Verstappen,Red Bull Racing,2020
